"COUNTY","CHANGES","","PARTY AFFILIATION FROM","","","","","","TOTAL ACTIVE REGISTRATION","","","","","","ACTIVITY",""
"","ADDRESS","NAME","DEM","REP","","BAR UNAF","OTH","TOTAL","DEM","REP","BAR","UNAF","OTH","TOTAL","CONF 
MAILING","INACTIVE"
"ALLEGANY","382","51","34","11","0","23","10","78","13088","21871","6","7574","682","43,221","250","2524"
"ANNE ARUNDEL","4091","1078","222","236","1","213","108","780","167106","135108","47","88989","4685","395,935","4856","23311"
"BALTIMORE CITY","6167","1684","264","103","2","180","69","618","304013","30059","54","51657","4483","390,266","1176","20818"
"BALTIMORE CO.","6094","2391","385","233","2","237","123","980","313036","143102","81","99372","8808","564,399","3151","23700"
"CALVERT","617","182","32","39","0","32","25","128","23918","27636","4","14159","929","66,646","3230","3592"
"CAROLINE","136","52","12","11","0","7","4","34","6651","9693","0","4088","257","20,689","7","890"
"CARROLL","881","250","59","68","1","70","41","239","32749","63744","13","25466","1821","123,793","319","6077"
"CECIL","613","186","54","26","0","38","20","138","21356","29248","8","15100","1127","66,839","255","5942"
"CHARLES","1172","243","65","32","0","26","11","134","70178","24381","11","19419","1107","115,096","4897","7680"
"DORCHESTER","284","50","12","7","0","12","6","37","9792","8445","2","3239","221","21,699","106","991"
"FREDERICK","2161","563","91","104","1","117","47","360","67671","67686","19","42115","1758","179,249","3360","11169"
"GARRETT","126","40","7","3","0","7","4","21","4026","13031","3","2613","256","19,929","299","1092"
"HARFORD","1555","510","119","79","0","98","70","366","64723","78819","27","37489","2575","183,633","1886","9481"
"HOWARD","2217","562","89","127","0","103","54","373","112936","54068","21","51554","3263","221,842","661","10801"
"KENT","105","28","7","6","0","2","2","17","5970","4854","1","2261","185","13,271","70","741"
"MONTGOMERY","5492","2301","290","244","3","400","153","1,090","398125","109275","55","148646","9361","665,462","7308","63912"
"PR. GEORGE'S","6080","2245","300","95","2","155","156","708","463681","39521","78","75167","13475","591,922","16946","33692"
"QUEEN ANNE'S","259","98","23","16","0","25","8","72","10763","18398","4","7056","482","36,703","9","1667"
"ST. MARY'S","499","177","43","28","0","25","13","109","25568","29815","8","15245","1015","71,651","238","6769"
"SOMERSET","170","36","11","7","0","3","1","22","5758","5492","0","1981","154","13,385","291","539"
"TALBOT","272","89","13","21","0","12","7","53","10349","11578","2","5054","386","27,369","156","1276"
"WASHINGTON","737","246","68","29","0","28","28","153","32214","42974","15","20214","1477","96,894","468","8417"
"WICOMICO","717","201","38","24","0","21","17","100","26480","23289","10","12103","956","62,838","385","3555"
"WORCESTER","355","96","23","25","0","17","12","77","13866","17548","4","7392","600","39,410","73","2531"
"TOTAL","41,182","13,359","2,261","1,574","12","1,851","989","6,687","2,204,017","1,009,635","473","757,953","60,063","4,032,141","50,397","251,167"
