COUNTY,ADDRESS,NAME,DEM,REP,GRN,LIB,WCP,UNAF,OTH,TOTAL,DEM_ACTIVE,REP_ACTIVE,GRN_ACTIVE,LIB_ACTIVE,WCP_ACTIVE,UNAF_ACTIVE,OTH_ACTIVE,TOTAL_ACTIVE,"CONF 
MAILING",INACTIVE
ALLEGANY,191,123,33,9,3,1,0,17,7,70,11865,22959,77,229,74,8492,385,"44,081",0,2982
ANNE ARUNDEL,2196,4495,284,221,3,29,2,411,106,"1,056",175690,131021,656,2307,445,98842,3009,"411,970",0,33356
BALTIMORE CITY,4854,4453,330,136,8,9,7,340,48,878,305086,28327,916,1086,674,57220,4010,"397,319",1,26149
BALTIMORE CO.,3432,5625,390,209,5,22,2,409,127,"1,164",311876,138402,908,2535,703,109064,5979,"569,467",0,38651
CALVERT,282,548,44,30,0,1,1,52,8,136,24044,28148,99,425,71,15555,559,"68,901",0,5793
CAROLINE,140,73,12,11,0,0,0,13,1,37,6300,10628,34,111,40,4559,164,"21,836",0,1308
CARROLL,535,789,74,70,0,5,1,87,17,254,33944,64455,195,805,103,28925,1043,"129,470",0,7130
CECIL,262,471,46,32,1,4,1,39,8,131,20856,32323,116,457,105,16742,686,"71,285",0,5808
CHARLES,549,819,77,34,2,5,1,55,8,182,74993,23478,131,431,144,22288,869,"122,334",0,9903
DORCHESTER,160,131,8,7,0,1,0,13,3,32,9654,9031,22,111,34,3821,191,"22,864",0,1069
FREDERICK,1229,1787,135,101,5,15,1,191,15,463,77638,68972,333,1173,182,49321,1094,"198,713",0,12887
GARRETT,82,79,10,8,0,1,1,11,2,33,3737,13744,25,106,20,2851,159,"20,642",0,1223
HARFORD,878,1270,118,107,2,11,2,168,24,432,65767,80824,246,1206,209,41852,1657,"191,761",0,13286
HOWARD,1250,2277,180,100,2,11,1,219,50,563,122461,49378,357,914,138,57650,2003,"232,901",0,14453
KENT,81,84,9,8,0,0,0,6,2,25,5897,5266,20,68,22,2605,111,"13,989",0,859
MONTGOMERY,4999,9280,642,330,14,20,7,774,140,"1,927",415004,98374,1142,2288,453,161477,5564,"684,302",0,74954
PR. GEORGE'S,3394,5049,380,73,6,6,7,288,134,894,465553,37938,799,1342,606,86827,10819,"603,884",0,39872
QUEEN ANNE'S,218,222,24,21,0,2,0,23,4,74,11205,19786,47,225,35,8113,302,"39,713",0,1982
ST. MARY'S,471,468,60,40,2,3,0,42,13,160,25689,32081,111,485,90,17096,659,"76,211",0,7644
SOMERSET,94,64,6,5,0,0,0,3,2,16,5622,6058,24,63,16,2327,112,"14,222",0,548
TALBOT,134,210,17,17,0,0,0,33,6,73,10892,11784,43,142,21,5716,222,"28,820",0,1443
WASHINGTON,540,683,74,41,0,9,0,95,20,239,31712,44402,174,631,126,22426,870,"100,341",0,10880
WICOMICO,631,308,48,35,0,4,3,34,11,135,26982,24132,110,355,109,13715,675,"66,078",0,4476
WORCESTER,275,222,27,18,0,1,1,34,19,100,13954,19311,57,217,37,8520,461,"42,557",0,3083
TOTAL,"26,877","39,530","3,028","1,663",53,160,38,"3,357",775,"9,074","2,256,421","1,000,822","6,642","17,712","4,457","846,004","41,603","4,173,661",1,"319,739"
