date,inactive
2006-08-01,216113.0
2006-09-01,213906.0
2006-10-01,211250.0
2006-11-01,206517.0
2006-12-01,212629.0
2007-01-01,210299.0
2007-02-01,212724.0
2007-03-01,221182.0
2007-05-01,228366.0
2007-06-01,227889.0
2007-07-01,230106.0
2007-08-01,235067.0
2007-09-01,288561.0
2007-10-01,219602.0
2007-11-01,223689.0
2007-12-01,224311.0
2008-01-01,224429.0
2008-02-01,221466.0
2008-03-01,219259.0
2008-04-01,218237.0
2008-05-01,218862.0
2008-06-01,220338.0
2008-07-01,221220.0
2008-08-01,224587.0
2008-09-01,212821.0
2008-10-01,203120.0
2008-11-01,190846.0
2008-12-01,203398.0
2009-01-01,208871.0
2009-02-01,213237.0
2009-03-01,218814.0
2009-04-01,223058.0
2009-05-01,234259.0
2009-06-01,243303.0
2009-07-01,236825.0
2009-08-01,228526.0
2009-09-01,222024.0
2009-10-01,223458.0
2009-11-01,224099.0
2009-12-01,235191.0
2010-01-01,234578.0
2010-02-01,234579.0
2010-03-01,237218.0
2010-04-01,228392.0
2010-05-01,239723.0
2010-06-01,240749.0
2010-07-01,238788.0
2010-08-01,236676.0
2010-09-01,235226.0
2010-10-01,232327.0
2010-11-01,224805.0
2010-12-01,227740.0
2011-01-01,183824.0
2011-02-01,192543.0
2011-03-01,203425.0
2011-04-01,212077.0
2011-05-01,222406.0
2011-06-01,230448.0
2011-07-01,234869.0
2011-08-01,233121.0
2011-09-01,233027.0
2011-10-01,232093.0
2011-11-01,231953.0
2011-12-01,236364.0
2012-01-01,240500.0
2012-02-01,236666.0
2012-03-01,233845.0
2012-04-01,231527.0
2012-05-01,238525.0
2012-06-01,241563.0
2012-07-01,252734.0
2012-08-01,255923.0
2012-09-01,248546.0
2012-10-01,237969.0
2012-11-01,219255.0
2012-12-01,134451.0
2013-01-01,137038.0
2013-02-01,147253.0
2013-03-01,161018.0
2013-04-01,177357.0
2013-05-01,190300.0
2013-06-01,195348.0
2013-07-01,220720.0
2013-08-01,222595.0
2013-09-01,223942.0
2013-10-01,240879.0
2013-11-01,246868.0
2013-12-01,250511.0
2014-01-01,253752.0
2014-02-01,259666.0
2014-03-01,280062.0
2014-04-01,268319.0
2014-05-01,265498.0
2014-06-01,264359.0
2014-07-01,303694.0
2014-08-01,303768.0
2014-09-01,300691.0
2014-10-01,296203.0
2014-11-01,286607.0
2014-12-01,228223.0
2015-01-01,239665.0
2015-02-01,269481.0
2015-03-01,288373.0
2015-04-01,293521.0
2015-05-01,306307.0
2015-06-01,303777.0
2015-09-01,302152.0
2015-10-01,299352.0
2015-11-01,295813.0
2015-12-01,294910.0
2016-01-01,295249.0
2016-04-01,282662.0
2016-05-01,282211.0
2016-06-01,295347.0
2016-07-01,306628.0
2016-08-01,313717.0
2016-09-01,307959.0
2016-10-01,300006.0
2016-11-01,295091.0
2016-12-01,203924.0
2017-01-01,170400.0
2017-02-01,184358.0
2017-04-01,216006.0
2017-05-01,226626.0
2017-06-01,233647.0
2017-07-01,246568.0
2017-08-01,271479.0
2018-01-01,296782.0
2018-02-01,295204.0
2018-03-01,299496.0
2018-04-01,295181.0
2018-05-01,293322.0
2018-06-01,290958.0
2018-07-01,292821.0
2018-08-01,295959.0
2018-09-01,290358.0
2018-10-01,284626.0
2018-11-01,279326.0
2018-12-01,197791.0
2019-01-01,171084.0
2019-02-01,184082.0
2019-03-01,198246.0
2019-04-01,207754.0
2019-05-01,220047.0
2019-06-01,217451.0
2019-07-01,215894.0
2019-08-01,233053.0
2019-09-01,230316.0
2019-10-01,240692.0
2019-11-01,239227.0
2019-12-01,251167.0
2020-01-01,246461.0
2020-02-01,243466.0
2020-03-01,240694.0
2020-04-01,239717.0
2020-05-01,238470.0
2020-06-01,237305.0
2020-07-01,289190.0
2020-08-01,294950.0
2020-09-01,285907.0
2020-10-01,277535.0
2020-11-01,258498.0
2020-12-01,156476.0
2021-01-01,182793.0
2021-02-01,212618.0
2021-03-01,221306.0
2021-04-01,217229.0
2021-05-01,235474.0
2021-06-01,232496.0
2021-07-01,252288.0
2021-08-01,250613.0
2021-09-01,272387.0
2021-10-01,268496.0
2021-11-01,282585.0
2021-12-01,280004.0
2022-01-01,278991.0
2022-02-01,284592.0
2022-03-01,314879.0
2022-04-01,316593.0
2022-05-01,313442.0
2022-06-01,309902.0
2022-07-01,308941.0
2022-08-01,327252.0
2022-09-01,323284.0
2022-10-01,319739.0
2022-11-01,316601.0
2022-12-01,233501.0
2023-01-01,248849.0
2023-02-01,261112.0
2023-03-01,273391.0
2023-04-01,269819.0
2023-05-01,265033.0
2023-06-01,279452.0
2023-07-01,277243.0
2023-08-01,287603.0
2023-09-01,300386.0
2023-10-01,297719.0
2023-11-01,307823.0
2023-12-01,305686.0
2024-01-01,313548.0
2024-02-01,316797.0
2024-03-01,313543.0
2024-04-01,310677.0
2024-05-01,309317.0
2024-06-01,340100.0
2024-08-01,347577.0
2024-09-01,340975.0
2024-10-01,333480.0
2024-11-01,325418.0
2024-12-01,198163.0
2025-01-01,203572.0
2025-02-01,213968.0
