,Unnamed: 0.1,Unnamed: 0,County,DEM,OTH,REP,UNA,pc_score,pc_score_norm
0,0,0,Allegany,24.73091364205256,1.32978723404255,58.37609511889862,15.56320400500625,-23.594462848596766,-0.680884616587287
1,1,1,Anne Arundel,43.09403675554765,1.3541852011895898,33.525139167789334,22.02663887547342,6.945722912162105,-0.0007002306264467517
2,2,2,Baltimore City,79.75012225573737,1.19442773495821,6.674081350915071,12.38136865838934,51.87702619545362,1.0
3,3,3,Baltimore County,54.83589871618831,1.40960026117933,26.6270896747741,17.127411347858228,20.13828828124756,0.2931217207236183
4,4,4,Calvert,33.93206994415453,1.45747505264121,44.28636821386066,20.32408678934358,-7.138117620058791,-0.31437246888401227
5,5,5,Caroline,25.72261355355841,1.30556230264755,55.6655331552101,17.30629098858392,-20.980923357454277,-0.6226764325279971
6,6,6,Carroll,25.943195860364536,1.45292709298733,52.673192771084345,19.930684275563788,-18.716385285070544,-0.5722411322873413
7,7,7,Cecil,25.134163104675466,1.52522266367898,54.82893027284539,18.511683958800152,-20.80947694282827,-0.6188580152082368
8,8,8,Charles,62.07949426424263,1.09662090245449,20.27243503596271,16.55144979734015,29.756461206088577,0.5073355796764396
9,9,9,Dorchester,37.80279365827783,1.1964401485236,47.03247480403135,13.9682913891672,-6.325570914521141,-0.2962756050895302
10,10,10,Frederick,39.74772009487449,1.22651919686457,36.07133344325922,22.95442726500171,2.777304465734365,-0.09353834116126747
11,11,11,Garrett,16.6802584530456,1.21698764192961,70.60410262844238,11.49865127658239,-37.92269985270396,-1.0
12,12,12,Harford,32.95743810918107,1.4811590762209998,45.83613606088184,19.72526675371608,-8.921702192728612,-0.35409607721024083
13,13,13,Howard,53.641275397610535,1.22136823681607,21.45737984715231,23.67997651842108,22.933195428928123,0.3553692858482984
14,14,14,Kent,40.479170391560885,1.23368496334704,41.73073484713034,16.55640979796173,-0.690985378682531,-0.17078333949359947
15,15,15,Montgomery,62.05685803809619,1.14284732903087,14.83106315905977,21.96923147381316,33.57405286427372,0.5923601521598314
16,16,16,Prince George's,78.96464317412395,1.2757566891790502,6.44270650220411,13.31689363449288,51.48248175929475,0.9912127919867533
17,17,17,Queen Anne's,26.86831652917812,1.33822181484876,53.27833791628476,18.51512373968836,-18.48602590210122,-0.567110618128628
18,18,18,Saint Mary's,31.56450445293692,1.45962053233219,46.83412178656206,20.14175322816882,-10.613294371032703,-0.3917708509038026
19,19,19,Somerset,34.496671373814806,1.36171071212426,50.81702642727456,13.32459148678636,-11.338475738926427,-0.40792193286823586
20,20,20,Talbot,37.3240048670259,1.238484269077,43.516426212410906,17.92108465148618,-4.188174042352165,-0.24867196605342146
21,21,21,Washington,29.98916723087339,1.40690589031821,49.52742044685173,19.07650643195667,-13.628712564020578,-0.45892959014919354
22,22,22,Wicomico,38.1025871862474,1.4447088075793602,42.4088483055752,18.04385570059803,-2.855671740975488,-0.21899476412828223
23,23,23,Worcester,30.873133650322536,1.5778794027680998,49.91368605954148,17.63530088736788,-13.27385436112929,-0.4510262653060645
