,Unnamed: 0,County,DEM,OTH,REP,UNA
0,0,Allegany,25.605425751012,1.24636034372558,59.28556210496414,13.86265180029827
1,1,Anne Arundel,43.98241938169506,1.25714602875062,34.14691680079924,20.613517788755058
2,2,Baltimore City,81.51179833947562,1.07049033702182,6.470238401850641,10.947472921651901
3,3,Baltimore County,56.221610638133704,1.34957174824455,26.528460094138218,15.90035751948352
4,4,Calvert,36.28204021748511,1.34633641149564,44.021316993182005,18.35030637783723
5,5,Caroline,27.22203783604381,1.2213740458015199,55.34019249917026,16.2163956189844
6,6,Carroll,26.50761200070567,1.42381253826755,53.21966355683316,18.8489119041936
7,7,Cecil,26.33160338705271,1.3998907402349,55.490303195848135,16.77820267686424
8,8,Charles,63.64510003705076,1.02121155983697,20.248240088921822,15.085448314190439
9,9,Dorchester,39.42979053529868,1.19601758469097,46.84509956038272,12.529092319627619
10,10,Frederick,40.27651906337597,1.1233586949649,36.99707041541088,21.60305182624823
11,11,Garrett,16.63917525773195,1.1615120274914,71.86254295532646,10.33676975945017
12,12,Harford,33.9641030383655,1.39148745455968,46.25699834245104,18.387411164623778
13,13,Howard,54.408226803151095,1.1504080381150001,22.022854851643938,22.41851030708995
14,14,Kent,42.05765407554672,1.22266401590457,41.5506958250497,15.168986083499
15,15,Montgomery,62.84900368631864,1.13318610451007,15.11096742772212,20.906842781449157
16,16,Prince George's,80.52377307092623,1.20075066118093,6.18604210564045,12.08943416225239
17,17,Queen Anne's,27.3853364579846,1.2085704720455301,54.03414797455641,17.371945095413448
18,18,Saint Mary's,33.5351528926409,1.36371449853887,46.76929541417575,18.33183719464446
19,19,Somerset,37.2605982354207,1.14052076608564,49.795567032494084,11.803313965999559
20,20,Talbot,38.01945181255526,1.24249616082646,43.95271999627717,16.7853320303411
21,21,Washington,31.18517364896433,1.27861703784457,50.13705030369101,17.399159009500078
22,22,Wicomico,39.67886691908568,1.35792081521993,42.42976674613191,16.53344551956247
23,23,Worcester,31.85995340409008,1.43023556821123,50.0,16.709811027698677
